summonerName,team,teamId,gameId,games,championName,key,Win,lose,kills,assists,deaths,killsT,assistsT,deathsT,kda,ban,Avg BT,wR,Presence
113,AST,Red,2767939.0,41,Sejuani,113,22.0,19.0,1.0,1.0,3.0,68.0,305.0,88.0,4.238636363636363,8.0,2.0,0.5365853658536586,92.45283018867924
Jankos,TH,Red,2769839.0,41,Sejuani,113,22.0,19.0,3.0,16.0,1.0,68.0,305.0,88.0,4.238636363636363,8.0,6.0,0.5365853658536586,92.45283018867924
Malrang,KOI,Red,2774623.0,41,Sejuani,113,22.0,19.0,0.0,3.0,1.0,68.0,305.0,88.0,4.238636363636363,8.0,1.0,0.5365853658536586,92.45283018867924
Malrang,KOI,Blue,2767214.0,41,Sejuani,113,22.0,19.0,3.0,4.0,4.0,68.0,305.0,88.0,4.238636363636363,8.0,3.0,0.5365853658536586,92.45283018867924
113,AST,Blue,2775522.0,41,Sejuani,113,22.0,19.0,3.0,13.0,4.0,68.0,305.0,88.0,4.238636363636363,8.0,2.0,0.5365853658536586,92.45283018867924
Elyoya,MAD,Blue,2767959.0,41,Sejuani,113,22.0,19.0,2.0,8.0,0.0,68.0,305.0,88.0,4.238636363636363,8.0,2.0,0.5365853658536586,92.45283018867924
Markoon,SK,Red,2773941.0,41,Sejuani,113,22.0,19.0,0.0,4.0,0.0,68.0,305.0,88.0,4.238636363636363,8.0,3.0,0.5365853658536586,92.45283018867924
Sheo,BDS,Blue,2769191.0,41,Sejuani,113,22.0,19.0,1.0,8.0,2.0,68.0,305.0,88.0,4.238636363636363,8.0,3.0,0.5365853658536586,92.45283018867924
Xerxe,XL,Blue,2769531.0,41,Sejuani,113,22.0,19.0,0.0,4.0,2.0,68.0,305.0,88.0,4.238636363636363,8.0,5.0,0.5365853658536586,92.45283018867924
Irrelevant,SK,Blue,2773569.0,41,Sejuani,113,22.0,19.0,1.0,10.0,1.0,68.0,305.0,88.0,4.238636363636363,8.0,2.0,0.5365853658536586,92.45283018867924
Jankos,TH,Red,2778069.0,41,Sejuani,113,22.0,19.0,0.0,7.0,5.0,68.0,305.0,88.0,4.238636363636363,8.0,1.0,0.5365853658536586,92.45283018867924
Markoon,SK,Blue,2768966.0,41,Sejuani,113,22.0,19.0,1.0,9.0,2.0,68.0,305.0,88.0,4.238636363636363,8.0,2.0,0.5365853658536586,92.45283018867924
Patrik,XL,Blue,2773941.0,41,Zeri,221,19.0,22.0,0.0,0.0,1.0,184.0,186.0,86.0,4.3023255813953485,5.0,2.0,0.4634146341463415,86.79245283018868
Jackspektra,TH,Red,2769596.0,41,Zeri,221,19.0,22.0,5.0,9.0,3.0,184.0,186.0,86.0,4.3023255813953485,5.0,6.0,0.4634146341463415,86.79245283018868
Crownie,BDS,Blue,2769929.0,41,Zeri,221,19.0,22.0,7.0,7.0,1.0,184.0,186.0,86.0,4.3023255813953485,5.0,3.0,0.4634146341463415,86.79245283018868
Carzzy,MAD,Red,2768870.0,41,Zeri,221,19.0,22.0,0.0,3.0,0.0,184.0,186.0,86.0,4.3023255813953485,5.0,6.0,0.4634146341463415,86.79245283018868
Kobbe,AST,Red,2774912.0,41,Zeri,221,19.0,22.0,6.0,5.0,1.0,184.0,186.0,86.0,4.3023255813953485,5.0,4.0,0.4634146341463415,86.79245283018868
Neon,VIT,Red,2768877.0,41,Zeri,221,19.0,22.0,1.0,3.0,2.0,184.0,186.0,86.0,4.3023255813953485,5.0,6.0,0.4634146341463415,86.79245283018868
Jackspektra,TH,Red,2775531.0,41,Zeri,221,19.0,22.0,5.0,11.0,3.0,184.0,186.0,86.0,4.3023255813953485,5.0,3.0,0.4634146341463415,86.79245283018868
Upset,VIT,Red,2778117.0,41,Zeri,221,19.0,22.0,5.0,5.0,0.0,184.0,186.0,86.0,4.3023255813953485,5.0,4.0,0.4634146341463415,86.79245283018868
Exakick,SK,Blue,2768899.0,41,Zeri,221,19.0,22.0,6.0,6.0,0.0,184.0,186.0,86.0,4.3023255813953485,5.0,6.0,0.4634146341463415,86.79245283018868
Comp,KOI,Blue,2777051.0,41,Zeri,221,19.0,22.0,3.0,8.0,3.0,184.0,186.0,86.0,4.3023255813953485,5.0,4.0,0.4634146341463415,86.79245283018868
Carzzy,MAD,Blue,2774623.0,41,Zeri,221,19.0,22.0,2.0,5.0,0.0,184.0,186.0,86.0,4.3023255813953485,5.0,4.0,0.4634146341463415,86.79245283018868
Crownie,BDS,Red,2777097.0,41,Zeri,221,19.0,22.0,8.0,11.0,1.0,184.0,186.0,86.0,4.3023255813953485,5.0,4.0,0.4634146341463415,86.79245283018868
Comp,KOI,Blue,2767939.0,41,Zeri,221,19.0,22.0,3.0,8.0,0.0,184.0,186.0,86.0,4.3023255813953485,5.0,3.0,0.4634146341463415,86.79245283018868
Exakick,SK,Red,2767173.0,41,Zeri,221,19.0,22.0,7.0,9.0,1.0,184.0,186.0,86.0,4.3023255813953485,5.0,3.0,0.4634146341463415,86.79245283018868
Hans,G2,Blue,2778074.0,41,Zeri,221,19.0,22.0,5.0,4.0,4.0,184.0,186.0,86.0,4.3023255813953485,5.0,4.0,0.4634146341463415,86.79245283018868
Carzzy,MAD,Blue,2773955.0,41,Zeri,221,19.0,22.0,7.0,4.0,4.0,184.0,186.0,86.0,4.3023255813953485,5.0,2.0,0.4634146341463415,86.79245283018868
Patrik,XL,Blue,2775428.0,41,Zeri,221,19.0,22.0,3.0,2.0,0.0,184.0,186.0,86.0,4.3023255813953485,5.0,3.0,0.4634146341463415,86.79245283018868
Neon,VIT,Blue,2768984.0,41,Zeri,221,19.0,22.0,10.0,11.0,5.0,184.0,186.0,86.0,4.3023255813953485,5.0,3.0,0.4634146341463415,86.79245283018868
Crownie,BDS,Blue,2773965.0,41,Zeri,221,19.0,22.0,2.0,3.0,4.0,184.0,186.0,86.0,4.3023255813953485,5.0,2.0,0.4634146341463415,86.79245283018868
Upset,VIT,Blue,2778069.0,41,Zeri,221,19.0,22.0,11.0,6.0,1.0,184.0,186.0,86.0,4.3023255813953485,5.0,4.0,0.4634146341463415,86.79245283018868
Kobbe,AST,Red,2768430.0,41,Zeri,221,19.0,22.0,6.0,3.0,2.0,184.0,186.0,86.0,4.3023255813953485,5.0,3.0,0.4634146341463415,86.79245283018868
Exakick,SK,Red,2768513.0,41,Zeri,221,19.0,22.0,1.0,4.0,0.0,184.0,186.0,86.0,4.3023255813953485,5.0,3.0,0.4634146341463415,86.79245283018868
Comp,KOI,Red,2773457.0,41,Zeri,221,19.0,22.0,1.0,1.0,2.0,184.0,186.0,86.0,4.3023255813953485,5.0,3.0,0.4634146341463415,86.79245283018868
Crownie,BDS,Red,2778032.0,41,Zeri,221,19.0,22.0,1.0,5.0,4.0,184.0,186.0,86.0,4.3023255813953485,5.0,4.0,0.4634146341463415,86.79245283018868
Rekkles,FNC,Blue,2769159.0,41,Zeri,221,19.0,22.0,3.0,1.0,3.0,184.0,186.0,86.0,4.3023255813953485,5.0,3.0,0.4634146341463415,86.79245283018868
Rekkles,FNC,Red,2774534.0,41,Zeri,221,19.0,22.0,2.0,1.0,2.0,184.0,186.0,86.0,4.3023255813953485,5.0,3.0,0.4634146341463415,86.79245283018868
Patrik,XL,Red,2778084.0,41,Zeri,221,19.0,22.0,5.0,3.0,3.0,184.0,186.0,86.0,4.3023255813953485,5.0,4.0,0.4634146341463415,86.79245283018868
Jackspektra,TH,Blue,2774934.0,41,Zeri,221,19.0,22.0,7.0,5.0,4.0,184.0,186.0,86.0,4.3023255813953485,5.0,4.0,0.4634146341463415,86.79245283018868
Patrik,XL,Red,2767440.0,41,Zeri,221,19.0,22.0,3.0,4.0,2.0,184.0,186.0,86.0,4.3023255813953485,5.0,3.0,0.4634146341463415,86.79245283018868
Carzzy,MAD,Red,2776133.0,41,Zeri,221,19.0,22.0,12.0,4.0,3.0,184.0,186.0,86.0,4.3023255813953485,5.0,4.0,0.4634146341463415,86.79245283018868
Exakick,SK,Red,2777089.0,41,Zeri,221,19.0,22.0,6.0,3.0,2.0,184.0,186.0,86.0,4.3023255813953485,5.0,4.0,0.4634146341463415,86.79245283018868
Upset,VIT,Red,2775908.0,41,Zeri,221,19.0,22.0,2.0,0.0,2.0,184.0,186.0,86.0,4.3023255813953485,5.0,2.0,0.4634146341463415,86.79245283018868
Crownie,BDS,Blue,2775495.0,41,Zeri,221,19.0,22.0,11.0,5.0,0.0,184.0,186.0,86.0,4.3023255813953485,5.0,3.0,0.4634146341463415,86.79245283018868
Rekkles,FNC,Blue,2773628.0,41,Zeri,221,19.0,22.0,1.0,1.0,5.0,184.0,186.0,86.0,4.3023255813953485,5.0,4.0,0.4634146341463415,86.79245283018868
Comp,KOI,Red,2769916.0,41,Zeri,221,19.0,22.0,0.0,1.0,4.0,184.0,186.0,86.0,4.3023255813953485,5.0,3.0,0.4634146341463415,86.79245283018868
Jackspektra,TH,Blue,2777029.0,41,Zeri,221,19.0,22.0,2.0,2.0,2.0,184.0,186.0,86.0,4.3023255813953485,5.0,4.0,0.4634146341463415,86.79245283018868
Carzzy,MAD,Red,2775881.0,41,Zeri,221,19.0,22.0,5.0,0.0,2.0,184.0,186.0,86.0,4.3023255813953485,5.0,4.0,0.4634146341463415,86.79245283018868
Jackspektra,TH,Blue,2775833.0,41,Zeri,221,19.0,22.0,8.0,10.0,1.0,184.0,186.0,86.0,4.3023255813953485,5.0,4.0,0.4634146341463415,86.79245283018868
Exakick,SK,Red,2768108.0,41,Zeri,221,19.0,22.0,3.0,1.0,4.0,184.0,186.0,86.0,4.3023255813953485,5.0,3.0,0.4634146341463415,86.79245283018868
Neon,VIT,Blue,2767145.0,41,Zeri,221,19.0,22.0,7.0,9.0,3.0,184.0,186.0,86.0,4.3023255813953485,5.0,3.0,0.4634146341463415,86.79245283018868
Exakick,SK,Red,2774885.0,41,Zeri,221,19.0,22.0,2.0,3.0,2.0,184.0,186.0,86.0,4.3023255813953485,5.0,4.0,0.4634146341463415,86.79245283018868
Bo,VIT,Blue,2774885.0,37,Vi,254,20.0,17.0,4.0,3.0,2.0,121.0,267.0,122.0,3.180327868852459,8.0,3.0,0.5405405405405406,84.90566037735849
Sheo,BDS,Red,2774880.0,37,Vi,254,20.0,17.0,5.0,12.0,1.0,121.0,267.0,122.0,3.180327868852459,8.0,3.0,0.5405405405405406,84.90566037735849
Markoon,SK,Red,2769830.0,37,Vi,254,20.0,17.0,5.0,7.0,2.0,121.0,267.0,122.0,3.180327868852459,8.0,3.0,0.5405405405405406,84.90566037735849
Jankos,TH,Blue,2778102.0,37,Vi,254,20.0,17.0,5.0,15.0,0.0,121.0,267.0,122.0,3.180327868852459,8.0,3.0,0.5405405405405406,84.90566037735849
Bo,VIT,Red,2767567.0,37,Vi,254,20.0,17.0,5.0,10.0,2.0,121.0,267.0,122.0,3.180327868852459,8.0,3.0,0.5405405405405406,84.90566037735849
Yike,G2,Blue,2778074.0,37,Vi,254,20.0,17.0,4.0,4.0,4.0,121.0,267.0,122.0,3.180327868852459,8.0,5.0,0.5405405405405406,84.90566037735849
Xerxe,XL,Blue,2769509.0,37,Vi,254,20.0,17.0,3.0,7.0,3.0,121.0,267.0,122.0,3.180327868852459,8.0,1.0,0.5405405405405406,84.90566037735849
Markoon,SK,Blue,2774534.0,37,Vi,254,20.0,17.0,3.0,10.0,0.0,121.0,267.0,122.0,3.180327868852459,8.0,3.0,0.5405405405405406,84.90566037735849
Xerxe,XL,Red,2773618.0,37,Vi,254,20.0,17.0,1.0,6.0,5.0,121.0,267.0,122.0,3.180327868852459,8.0,3.0,0.5405405405405406,84.90566037735849
Razork,FNC,Red,2774934.0,37,Vi,254,20.0,17.0,6.0,12.0,4.0,121.0,267.0,122.0,3.180327868852459,8.0,3.0,0.5405405405405406,84.90566037735849
Razork,FNC,Blue,2769596.0,37,Vi,254,20.0,17.0,2.0,12.0,6.0,121.0,267.0,122.0,3.180327868852459,8.0,3.0,0.5405405405405406,84.90566037735849
Bo,VIT,Red,3131863.0,37,Vi,254,20.0,17.0,1.0,5.0,5.0,121.0,267.0,122.0,3.180327868852459,8.0,5.0,0.5405405405405406,84.90566037735849
Elyoya,MAD,Red,2768924.0,37,Vi,254,20.0,17.0,3.0,10.0,3.0,121.0,267.0,122.0,3.180327868852459,8.0,3.0,0.5405405405405406,84.90566037735849
Razork,FNC,Blue,2773628.0,37,Vi,254,20.0,17.0,2.0,1.0,5.0,121.0,267.0,122.0,3.180327868852459,8.0,3.0,0.5405405405405406,84.90566037735849
Bo,VIT,Red,2768914.0,37,Vi,254,20.0,17.0,4.0,7.0,11.0,121.0,267.0,122.0,3.180327868852459,8.0,3.0,0.5405405405405406,84.90566037735849
Markoon,SK,Red,2775434.0,37,Vi,254,20.0,17.0,0.0,9.0,1.0,121.0,267.0,122.0,3.180327868852459,8.0,5.0,0.5405405405405406,84.90566037735849
Bo,VIT,Red,2769231.0,37,Vi,254,20.0,17.0,6.0,7.0,2.0,121.0,267.0,122.0,3.180327868852459,8.0,2.0,0.5405405405405406,84.90566037735849
Yike,G2,Red,2773874.0,37,Vi,254,20.0,17.0,4.0,1.0,4.0,121.0,267.0,122.0,3.180327868852459,8.0,3.0,0.5405405405405406,84.90566037735849
Yike,G2,Blue,2775908.0,37,Vi,254,20.0,17.0,7.0,9.0,0.0,121.0,267.0,122.0,3.180327868852459,8.0,6.0,0.5405405405405406,84.90566037735849
Xerxe,XL,Blue,2769151.0,37,Vi,254,20.0,17.0,0.0,9.0,3.0,121.0,267.0,122.0,3.180327868852459,8.0,3.0,0.5405405405405406,84.90566037735849
Sheo,BDS,Red,2774603.0,37,Vi,254,20.0,17.0,2.0,8.0,0.0,121.0,267.0,122.0,3.180327868852459,8.0,3.0,0.5405405405405406,84.90566037735849
Sheo,BDS,Red,2768092.0,37,Vi,254,20.0,17.0,1.0,5.0,3.0,121.0,267.0,122.0,3.180327868852459,8.0,,0.5405405405405406,84.90566037735849
Yike,G2,Red,2773965.0,37,Vi,254,20.0,17.0,5.0,9.0,1.0,121.0,267.0,122.0,3.180327868852459,8.0,5.0,0.5405405405405406,84.90566037735849
Markoon,SK,Red,2777089.0,37,Vi,254,20.0,17.0,3.0,5.0,4.0,121.0,267.0,122.0,3.180327868852459,8.0,6.0,0.5405405405405406,84.90566037735849
Malrang,KOI,Blue,2777051.0,37,Vi,254,20.0,17.0,2.0,7.0,3.0,121.0,267.0,122.0,3.180327868852459,8.0,5.0,0.5405405405405406,84.90566037735849
Razork,FNC,Blue,2773972.0,37,Vi,254,20.0,17.0,10.0,6.0,0.0,121.0,267.0,122.0,3.180327868852459,8.0,5.0,0.5405405405405406,84.90566037735849
Malrang,KOI,Blue,2777097.0,37,Vi,254,20.0,17.0,2.0,5.0,4.0,121.0,267.0,122.0,3.180327868852459,8.0,6.0,0.5405405405405406,84.90566037735849
Elyoya,MAD,Red,2775495.0,37,Vi,254,20.0,17.0,1.0,2.0,6.0,121.0,267.0,122.0,3.180327868852459,8.0,1.0,0.5405405405405406,84.90566037735849
